group_id,technique_id
intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,attack-pattern--edf91964-b26e-4b4a-9600-ccacd7d7df24
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,attack-pattern--cba37adb-d6fb-4610-b069-dd04c0643384
intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,attack-pattern--b4694861-542c-48ea-9eb1-10d356e7140a
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,attack-pattern--d336b553-5da9-46ca-98a8-0b23f49fb447
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,attack-pattern--2b5aa86b-a0df-4382-848d-30abea443327
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,attack-pattern--774ad5bb-2366-4c13-a8a9-65e50b292e7c
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,attack-pattern--4bc31b94-045b-4752-8920-aebaebdb6470
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736
intrusion-set--9735c036-8ebe-47e9-9c77-b0ae656dab93,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--4061e78c-1284-44b4-9116-73e4ac3912f7
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5
intrusion-set--7113eaa5-ba79-4fb3-b68a-398ee9cd698e,attack-pattern--bf1b6176-597c-4600-bfcd-ac989670f96b
intrusion-set--46bb06cb-f2d9-4b37-8c92-a27e224ad90d,attack-pattern--bf1b6176-597c-4600-bfcd-ac989670f96b
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,attack-pattern--ef67e13e-5598-4adc-bdb2-998225874fa9
intrusion-set--420ac20b-f2b9-42b8-aa1a-6d4b72895ca4,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,attack-pattern--5282dd9a-d26d-4e16-88b7-7c0f4553daf4
intrusion-set--8c1f0187-0826-4320-bddc-5f326cfcfe2c,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,attack-pattern--bf1b6176-597c-4600-bfcd-ac989670f96b
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,attack-pattern--3ee16395-03f0-4690-a32e-69ce9ada0f9e
intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
intrusion-set--7f848c02-4d1e-4808-a4ae-4670681370a9,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
intrusion-set--0d4ac089-ced4-4cc4-a989-174d08e6d030,attack-pattern--155207c0-7f53-4f13-a06b-0a9907ef5096
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,attack-pattern--bf90d72c-c00b-45e3-b3aa-68560560d4c5
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,attack-pattern--40597f16-0963-4249-bf4c-ac93b7fb9807
intrusion-set--fe8796a4-2a02-41a0-9d27-7aa1e995feb6,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
intrusion-set--4c4a7846-45d5-4761-8eea-725fa989914c,attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541
intrusion-set--894aab42-3371-47b1-8859-a4a074c804c8,attack-pattern--d336b553-5da9-46ca-98a8-0b23f49fb447
intrusion-set--8cf6e33b-b6ef-4a1f-a77c-0ecdde93161f,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
intrusion-set--813636db-3939-4a45-bea9-6113e970c029,attack-pattern--d40239b3-05ff-46d8-9bdd-b46d13463ef9
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c
intrusion-set--ebd7ce77-c9ba-4fba-bb28-58296ac66559,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688
intrusion-set--d519164e-f5fa-4b8c-a1fb-cf0172ad0983,attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377
intrusion-set--18854f55-ac7c-4634-bd9a-352dd07613b7,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,attack-pattern--3fc9b85a-2862-4363-a64d-d692e3ffbee0
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,attack-pattern--7807d3a4-a885-4639-a786-c1ed41484970
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--4b46767d-4a61-4f30-995e-c19a75c2e536
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,attack-pattern--926d8cfd-1d0d-4da2-ab49-3ca10ec3f3b5
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,attack-pattern--1c34f7aa-9341-4a48-bfab-af22e51aca6c
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34
intrusion-set--f9c06633-dcff-48a1-8588-759e7cec5694,attack-pattern--d742a578-d70e-4d0e-96a6-02a9c30204e6
intrusion-set--319fd652-edde-46b2-9987-3519493989f5,attack-pattern--bed81616-3dde-4685-be6e-ba9820f9a7ed
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,attack-pattern--a01bf75f-00b2-4568-a58f-565ff9bf202b
intrusion-set--fbe9387f-34e6-4828-ac28-3080020c597b,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0
intrusion-set--c5947e1c-1cbc-434c-94b8-27c7e3be0fff,attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,attack-pattern--bc76d0a4-db11-4551-9ac4-01a469cfb161
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
intrusion-set--fd19bd82-1b14-49a1-a176-6cdc46b8a826,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377
intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,attack-pattern--348f1eef-964b-4eb6-bb53-69b3dcb0c643
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0
intrusion-set--00f67a77-86a4-4adf-be26-1a54fc713340,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
intrusion-set--44102191-3a31-45f8-acbe-34bdb441d5ad,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c
intrusion-set--2c40f629-6cf9-4f75-af32-9a98caec24ae,attack-pattern--7bd9c723-2f78-4309-82c5-47cad406572b
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2
intrusion-set--674582ec-51c4-42ce-b409-797239e37a2a,attack-pattern--2e34237d-8574-43f6-aace-ae2915de8597
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,attack-pattern--cca0ccb6-a068-4574-a722-b1556f86833a
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,attack-pattern--937e4772-8441-4e4a-8bf0-8d447d667e23
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,attack-pattern--f6ad61ee-65f3-4bd0-a3f5-2f0accb36317
intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32
intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,attack-pattern--20fb2507-d71c-455d-9b6d-6104461cf26b
intrusion-set--4e868dad-682d-4897-b8df-2dc98f46c68a,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,attack-pattern--e7cbc1de-1f79-48ee-abfd-da1241c65a15
intrusion-set--73a80fab-2aa3-48e0-a4d0-3a4828200aee,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
intrusion-set--ebd7ce77-c9ba-4fba-bb28-58296ac66559,attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119
intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630,attack-pattern--d2d642da-61ff-4211-b4df-7923c9ca220c
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,attack-pattern--69b8fd78-40e8-4600-ae4d-662c9d7afdb3
intrusion-set--d0b3393b-3bec-4ba3-bda9-199d30db47b6,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
intrusion-set--222fbd21-fc4f-4b7e-9f85-0e6e3a76c33f,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
intrusion-set--247cb30b-955f-42eb-97a5-a89fef69341e,attack-pattern--e624264c-033a-424d-9fd7-fc9c3bbdb03e
intrusion-set--b516b235-fc7d-4635-aca5-3d33312339c3,attack-pattern--eec096b8-c207-43df-b6c1-11523861e452
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56
intrusion-set--c1aab4c9-4c34-4f4f-8541-d529e46a07f9,attack-pattern--635cbe30-392d-4e27-978e-66774357c762
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,attack-pattern--bc76d0a4-db11-4551-9ac4-01a469cfb161
intrusion-set--2688b13e-8e71-405a-9c40-0dee94bddf87,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872
intrusion-set--dc6fe6ee-04c2-49be-ba3d-f38d2463c02a,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,attack-pattern--79a47ad0-fc3b-4821-9f01-a026b1ddba21
intrusion-set--46599a4a-77ee-4697-9474-2683b6464859,attack-pattern--1eaebf46-e361-4437-bc23-d5d65a3b92e3
intrusion-set--1f21da59-6a13-455b-afd0-d58d0a5a7d27,attack-pattern--b200542e-e877-4395-875b-cf1a44537ca4
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082
intrusion-set--269e8108-68c6-4f99-b911-14b2e765dec2,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34
intrusion-set--3fc023b2-c5cc-481d-9c3e-70141ae1a87e,attack-pattern--be2dcee9-a7a7-4e38-afd6-21b31ecc3d63
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--eb062747-2193-45de-8fa2-e62549c37ddf
intrusion-set--e44e0985-bc65-4a8f-b578-211c858128e3,attack-pattern--31fe0ba2-62fd-4fd9-9293-4043d84f7fe9
intrusion-set--54dfec3e-6464-4f74-9d69-b7c817b7e5a3,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67
intrusion-set--44e43fad-ffcb-4210-abcf-eaaed9735f80,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c
intrusion-set--93f52415-0fe4-4d3d-896c-fc9b8e88ab90,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,attack-pattern--eb062747-2193-45de-8fa2-e62549c37ddf
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345
intrusion-set--3ea7add5-5b8f-45d8-b1f1-905d2729d62a,attack-pattern--5d0d3609-d06d-49e1-b9c9-b544e0c618cb
intrusion-set--8cf6e33b-b6ef-4a1f-a77c-0ecdde93161f,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d
intrusion-set--afec6dc3-a18e-4b62-b1a4-5510e1a498d1,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,attack-pattern--851e071f-208d-4c79-adc6-5974c85c78f3
intrusion-set--6eded342-33e5-4451-b6b2-e1c62863129f,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7
intrusion-set--c416b28c-103b-4df1-909e-78089a7e0e5f,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
intrusion-set--02b16bd6-ae88-417a-8a3f-02c5e166175a,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
intrusion-set--46599a4a-77ee-4697-9474-2683b6464859,attack-pattern--cdfc5f0a-9bb9-4352-b896-553cfa2d8fd8
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,attack-pattern--b21c3b2d-02e6-45b1-980b-e69051040839
intrusion-set--1c3dcf91-b859-4aae-a09c-ae26dc8b6390,attack-pattern--5e29d64d-2b14-4f92-875e-4c9c498e213c
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--65013dd2-bc61-43e3-afb5-a14c4fa7437a
intrusion-set--c5b81590-6814-4d2a-8baa-15c4b6c7f960,attack-pattern--3489cfc5-640f-4bb3-a103-9137b97de79f
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,attack-pattern--8c41090b-aa47-4331-986b-8c9a51a91103
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--3b0e52ce-517a-4614-a523-1bd5deef6c5e
intrusion-set--56319646-eb6e-41fc-ae53-aadfa7adb924,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
intrusion-set--4a2ce82e-1a74-468a-a6fb-bbead541383c,attack-pattern--348f1eef-964b-4eb6-bb53-69b3dcb0c643
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,attack-pattern--c2e147a9-d1a8-4074-811a-d8789202d916
intrusion-set--2e290bfe-93b5-48ce-97d6-edcd6d32b7cf,attack-pattern--79da0971-3147-4af6-a4f5-e8cd447cd795
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,attack-pattern--9efb1ea7-c37b-4595-9640-b7680cd84279
intrusion-set--56a05d27-4d47-418a-b330-781c5614f202,attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872
intrusion-set--cb41e991-65f4-4668-a65f-f4200545b5a1,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--fb8d023d-45be-47e9-bc51-f56bcae6435b
intrusion-set--f40eb8ce-2a74-4e56-89a1-227021410142,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161
intrusion-set--44d37b89-a739-4810-9111-0d2617a8939b,attack-pattern--ceaeb6d8-95ee-4da2-9d42-dc6aa6ca43ae
intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,attack-pattern--212306d8-efa4-44c9-8c2d-ed3d2e224aa0
intrusion-set--94873029-f950-4268-9cfd-5032e15cb182,attack-pattern--b97f1d35-4249-4486-a6b5-ee60ccf24fab
intrusion-set--fd66436e-4d33-450e-ac4c-f7810f1c85f4,attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,attack-pattern--cc723aff-ec88-40e3-a224-5af9fd983cc4
intrusion-set--82323c70-4186-4b61-94f5-b227c3b28e89,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,attack-pattern--79da0971-3147-4af6-a4f5-e8cd447cd795
intrusion-set--d8bc9788-4f7d-41a9-9e9d-ee1ea18a8cf7,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5
intrusion-set--fb366179-766c-4a4a-afa1-52bff1fd601c,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd
intrusion-set--813636db-3939-4a45-bea9-6113e970c029,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,attack-pattern--a2fdce72-04b2-409a-ac10-cc1695f4fce0
intrusion-set--467271fd-47c0-4e90-a3f9-d84f5cf790d0,attack-pattern--bf176076-b789-408e-8cba-7275e81c0ada
intrusion-set--e6db1e55-b199-4b6b-8633-989345ee45e0,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
