source,target,relation
course-of-action--b5dbb4c5-b0b1-40b1-80b6-e9e84ab90067,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,mitigates
malware--5c747acd-47f0-4c5a-b9e5-213541fc01e0,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,uses
malware--d906e6f7-434c-44c0-b51a-ed50af8f7945,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
intrusion-set--e1fc262c-dad2-4b82-abda-5f08dd134971,malware--64fa0de0-6240-41f4-8638-f4ca7ed528fd,uses
malware--0b32ec39-ba61-4864-9ebe-b4b0b73caf9a,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,uses
campaign--add4d9de-1256-4166-83b8-57087288dced,attack-pattern--830c9528-df21-472c-8c14-a036bf17d665,uses
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,uses
malware--d9f7383c-95ec-4080-bbce-121c9384457b,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0,uses
intrusion-set--9b36c218-4d80-4ec6-a68d-cc2886bbe410,attack-pattern--cd92d2b8-ce43-4666-9472-f1b4b9f4f8be,uses
malware--4efc3e00-72f2-466a-ab7c-8a7dc6603b19,attack-pattern--4bed873f-0b7d-41d4-b93a-b6905d1f90b0,uses
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18,uses
malware--cb741463-f0fe-42e0-8d45-bc7e8335f5ae,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,uses
malware--4dea7d8e-af94-4bfb-afe4-7ff54f59308b,attack-pattern--4f9ca633-15c5-463c-9724-bdcd54fde541,uses
campaign--8d2bc130-89fe-466e-a4f9-6bce6129c2b8,malware--a394448a-4576-41b8-81cc-9b61abad94ab,uses
malware--d69c8146-ab35-4d50-8382-6fc80e641d43,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,uses
intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630,attack-pattern--63b24abc-5702-4745-b1e4-ac70b20a43f2,uses
campaign--a543ef15-91ea-4aa9-9c10-267d56e1ee82,attack-pattern--9c99724c-a483-4d60-ad9d-7f004e42e8e8,uses
attack-pattern--8d7bd4f5-3a89-4453-9c82-2c8894d5655e,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517,subtechnique-of
tool--cb69b20d-56d0-41ab-8440-4a4b251614d4,attack-pattern--f1951e8a-500e-4a26-8803-76d95c4554b4,uses
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a,uses
malware--edb24a93-1f7a-4bbf-a738-1397a14662c6,attack-pattern--f7827069-0bf2-4764-af4f-23fae0d181b7,uses
malware--a7881f21-e978-4fe4-af56-92c9416a2616,attack-pattern--1365fe3b-0f50-455d-b4da-266ce31c23b0,uses
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,attack-pattern--e7cbc1de-1f79-48ee-abfd-da1241c65a15,uses
malware--eac3d77f-2b7b-4599-ba74-948dc16633ad,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,uses
malware--af2ad3b7-ab6a-4807-91fd-51bcaff9acbb,attack-pattern--1b7ba276-eedc-4951-a762-0ceea2c030ec,uses
malware--ff6840c9-4c87-4d07-bbb6-9f50aa33d498,attack-pattern--3b744087-9945-4a6f-91e8-9dbceda417a4,uses
course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,mitigates
x-mitre-detection-strategy--be6a466c-40c6-4611-9b68-7cfcbcb35fb0,attack-pattern--dca670cf-eeec-438f-8185-fd959d9ef211,detects
malware--a8a778f5-0035-4870-bb25-53dc05029586,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,uses
malware--7908f855-5b5b-4d6a-acbc-af6b45ec27ad,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,uses
intrusion-set--c4d50cdf-87ce-407d-86d8-862883485842,malware--d906e6f7-434c-44c0-b51a-ed50af8f7945,uses
course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--57a3d31a-d04f-4663-b2da-7df8ec3f8c9d,mitigates
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,malware--5be33fef-39c0-4532-84ee-bea31e1b5324,uses
intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,attack-pattern--dfebc3b7-d19d-450b-81c7-6dafe4184c04,uses
malware--bb6f2a5c-dbc9-45b0-bd3f-a0b7849959c2,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688,uses
malware--82cb34ba-02b5-432b-b2d2-07f55cbf674d,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,uses
malware--fb4e3792-e915-4fdd-a9cd-92dfa2ace7aa,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,uses
malware--f9b05f33-d45d-4e4d-aafe-c208d38a0080,attack-pattern--677569f9-a8b0-459e-ab24-7f18091fa7bf,uses
campaign--a6aba167-5ada-4812-9da1-912c0e73335d,tool--0a68f1f1-da74-4d28-8d9a-696c082706cc,uses
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,attack-pattern--e7cbc1de-1f79-48ee-abfd-da1241c65a15,uses
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,uses
malware--cc5497f7-a9e8-436f-94da-b2b4a9b9ad3c,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,uses
course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,attack-pattern--7f0ca133-88c4-40c6-a62f-b3083a7fbc2e,mitigates
campaign--808d6b30-df4e-4341-8248-724da4bac650,attack-pattern--1f9c2bae-b441-4f66-a8af-b65946ee72f2,uses
malware--a7881f21-e978-4fe4-af56-92c9416a2616,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082,uses
intrusion-set--c93fccb1-e8e8-42cf-ae33-2ad1d183913a,tool--3ffbdc1f-d2bf-41ab-91a2-c7b857e98079,uses
malware--63686509-069b-4143-99ea-4e59cad6cb2a,attack-pattern--c877e33f-1df6-40d6-b1e7-ce70f16f4979,uses
malware--0715560d-4299-4e84-9e20-6e80ab57e4f2,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,uses
malware--4b346d12-7f91-48d2-8f06-b26ffa0d825b,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,uses
course-of-action--90c218c3-fbf8-4830-98a7-e8cfb7eaa485,attack-pattern--4ffc1794-ec3b-45be-9e52-42dbcb2af2de,mitigates
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,attack-pattern--7385dfaf-6886-4229-9ecd-6fd678040830,uses
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,malware--9020f5c7-efde-4125-a4f1-1b70f1274ddd,uses
campaign--808d6b30-df4e-4341-8248-724da4bac650,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65,uses
malware--16662bee-9d15-4564-a128-1fce214866e9,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,uses
malware--0c52f5bc-557d-4083-bd27-66d7cdb794bb,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,uses
malware--3fc44c12-b16e-4de1-8869-cf0eb4446070,attack-pattern--f3c544dc-673c-4ef3-accb-53229f1ae077,uses
malware--a8a778f5-0035-4870-bb25-53dc05029586,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,uses
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,attack-pattern--d511a6f6-4a33-41d5-bc95-c343875d1377,uses
malware--a545456a-f9a7-47ad-9ea6-8b017def38d1,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,uses
intrusion-set--f3be6240-f68e-47e1-90d2-ad8f3b3bb8a6,attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011,uses
malware--6f6f67c9-556d-4459-95c2-78d272190e52,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
malware--b00f90b6-c75c-4bfd-b813-ca9e6c9ebf29,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,uses
malware--b0381480-d5ba-4dd8-a39e-fb8f1afea3a0,attack-pattern--92d7da27-2d91-488e-a00c-059dc162766d,uses
malware--f8fc98ac-ad6d-44db-b6e2-f0c6eb4eace4,attack-pattern--fa44a152-ac48-441e-a524-dd7b04b8adcd,uses
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--f2514ae4-4e9b-4f26-a5ba-c4ae85fe93c3,uses
malware--925a6c52-5cf0-4fec-99de-b0d6917d8593,attack-pattern--00f90846-cbd1-4fc5-9233-df5c2bf2a662,uses
intrusion-set--7eda3dd8-b09b-4705-8090-c2ad9fb8c14d,tool--f59508a6-3615-47c3-b493-6676e1a39a87,uses
malware--6207dd22-bf18-4c96-aada-c573a9bbf5ec,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,uses
malware--579607c2-d046-40df-99ab-beb479c37a2a,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,uses
malware--7e6c2a9d-9dc1-4eb0-b27c-91e8076a9d77,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,uses
intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,uses
malware--9491a623-5861-4d0a-9958-8c05d0d17442,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,uses
malware--33139388-de0c-49ff-862a-041c315b142d,attack-pattern--21875073-b0ee-49e3-9077-1e2a885359af,uses
intrusion-set--16ade1aa-0ea1-4bb7-88cc-9079df2ae756,malware--123bd7b3-675c-4b1a-8482-c55782b20e2b,uses
malware--6b62e336-176f-417b-856a-8552dd8c44e1,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,uses
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,uses
malware--e23d2777-b85d-44fc-861e-9149d399fbb9,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
malware--f8fc98ac-ad6d-44db-b6e2-f0c6eb4eace4,attack-pattern--dd43c543-bb85-4a6f-aa6e-160d90d06a49,uses
intrusion-set--c0291346-defe-48d7-9542-9e074ba1bdfb,attack-pattern--970a3432-3237-47ad-bcca-7d8cbb217736,uses
malware--47ab6350-054f-4754-ba4d-e52a4e8751e2,attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,uses
malware--273e2b53-64ec-48be-9ad9-8f3dc0e53718,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18,uses
malware--de376fb9-1093-4f59-8d13-aed61042701d,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a,uses
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--eec096b8-c207-43df-b6c1-11523861e452,uses
malware--8c1d01ff-fdc0-4586-99bd-c248e0761af5,attack-pattern--2b742742-28c3-4e1b-bab7-8350d6300fa7,uses
malware--feb2d7bb-aacb-48df-ad04-ccf41a30cd90,attack-pattern--f2514ae4-4e9b-4f26-a5ba-c4ae85fe93c3,uses
intrusion-set--bf668120-e9a6-4017-a014-bfc0f5232656,attack-pattern--232b7f21-adf9-4b42-b936-b9d6f7df856e,uses
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,attack-pattern--88d31120-5bc7-4ce3-a9c0-7cf147be8e54,uses
malware--7acb15b6-fe2c-4319-b136-6ab36ff0b2d4,attack-pattern--57340c81-c025-4189-8fa0-fc7ede51bae4,uses
attack-pattern--34ff60a3-a3f8-42e4-bed0-af9a2cb563d7,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872,subtechnique-of
intrusion-set--0ec2f388-bf0f-4b5c-97b1-fc736d26c25f,attack-pattern--a1df809c-7d0e-459f-8fe5-25474bab770b,uses
malware--af2ad3b7-ab6a-4807-91fd-51bcaff9acbb,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,uses
malware--5763217a-05b6-4edd-9bca-057e47b5e403,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,uses
campaign--7ab2f1a1-26af-4204-ad84-d640fde391da,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,uses
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,attack-pattern--c3888c54-775d-4b2f-b759-75a2ececcbfd,uses
malware--d79e7a60-5de9-448e-a074-f95d2d80f8d0,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,uses
campaign--a543ef15-91ea-4aa9-9c10-267d56e1ee82,attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,uses
malware--06d735e7-1db1-4dbe-ab4b-acbe419f902b,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,uses
malware--33139388-de0c-49ff-862a-041c315b142d,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896,uses
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,attack-pattern--3ee16395-03f0-4690-a32e-69ce9ada0f9e,uses
malware--df9b350b-d4f9-4e79-a826-75cc75fbc1eb,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872,uses
malware--67e6d66b-1b82-4699-b47a-e2efb6268d14,attack-pattern--d1fcf083-a721-4223-aedf-bf8960798d62,uses
malware--3d7048f1-012e-468c-a18b-1bf98037d62c,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
malware--d3afa961-a80c-4043-9509-282cdf69ab21,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,uses
malware--a8d3d497-2da9-4797-8e0b-ed176be08654,attack-pattern--f0589bc3-a6ae-425a-a3d5-5659bfee07f4,uses
malware--8f423bd7-6ca7-4303-9e85-008c7ad5fdaa,attack-pattern--7bc57495-ea59-4380-be31-a64af124ef18,uses
tool--cb69b20d-56d0-41ab-8440-4a4b251614d4,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,uses
malware--1dac60f2-7d53-4a3e-95d1-cb2e875d5491,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
intrusion-set--13ef3485-70d2-4567-b934-0e83c1eafcf1,malware--02739f57-7585-4319-acd3-794ae8ff3a70,uses
course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,attack-pattern--d456de47-a16f-4e46-8980-e67478a12dcb,mitigates
malware--00806466-754d-44ea-ad6f-0caf59cb8556,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
malware--0db09158-6e48-4e7c-8ce7-2b10b9c0c039,attack-pattern--1c4e5d32-1fe9-4116-9d9d-59e3925bd6a2,uses
x-mitre-detection-strategy--000d7b6f-0bb5-4144-a3eb-1aa822433da1,attack-pattern--f8ba7d61-11c5-4130-bafd-7c3ff5fbf4b5,detects
malware--6ba1d7ae-d60b-43e6-9f08-a8b787e9d9cb,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,uses
malware--e1284931-3f85-4262-a641-9ae8bb0576a0,attack-pattern--1b20efbf-8063-4fc3-a07d-b575318a301b,uses
malware--8a59f456-79a0-4151-9f56-9b1a67332af2,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
intrusion-set--7a19ecb1-3c65-4de3-a230-993516aed6a6,attack-pattern--ae797531-3219-49a4-bccf-324ad7a4c7b2,uses
intrusion-set--5cbe0d3b-6fb1-471f-b591-4b192915116d,malware--9e9b9415-a7df-406b-b14d-92bfe6809fbe,uses
intrusion-set--a7f57cc1-4540-4429-823f-f4e56b8473c9,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735,uses
malware--91c57ed3-7c32-4c68-b388-7db00cb8dac6,attack-pattern--2959d63f-73fd-46a1-abd2-109d7dcede32,uses
malware--c13d9621-aca7-436b-ab3d-3a95badb3d00,attack-pattern--32901740-b42c-4fdd-bc02-345b5dc57082,uses
campaign--f9cc545e-b0ef-4b92-8884-a3a4427609f6,tool--13cd9151-83b7-410d-9f98-25d0f0d1d80d,uses
intrusion-set--35d1b3be-49d4-42f1-aaa6-ef159c880bca,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d,uses
intrusion-set--2a7914cf-dff3-428d-ab0f-1014d1c28aeb,malware--432555de-63bf-4f2a-a3fa-f720a4561078,uses
malware--cb444a16-3ea5-4a91-88c6-f329adcb8af3,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
malware--bdb27a1d-1844-42f1-a0c0-826027ae0326,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,uses
x-mitre-detection-strategy--1238c5f2-07ef-4a31-bc3a-e0cc0eb12516,attack-pattern--34ab90a3-05f6-4259-8f21-621081fdaba5,detects
malware--3824852d-1957-4712-9da0-38143723c060,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,uses
intrusion-set--d13c8a7f-740b-4efa-a232-de7d6bb05321,attack-pattern--b18eae87-b469-4e14-b454-b171b416bc18,uses
intrusion-set--17862c7d-9e60-48a0-b48e-da4dc4c3f6b0,attack-pattern--dfd7cc1d-e1d8-4394-a198-97c4cab8aa67,uses
malware--29a0bb87-1162-4c83-9834-2a98a876051b,attack-pattern--e6919abc-99f9-4c6c-95a5-14761e7b2add,uses
x-mitre-detection-strategy--6bf8b26d-aa2d-4a8f-a1e4-c9cc4aef318d,attack-pattern--e196b5c5-8118-4a1c-ab8a-936586ce3db5,detects
malware--be471c69-12d5-4bcc-9dad-3d42c3dbca4b,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,uses
x-mitre-detection-strategy--b172a0fa-e429-4e6e-89b4-54dcfcefa893,attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f,detects
tool--362dc67f-4e85-4562-9dac-1b6b7f3ec4b5,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,uses
malware--51f78dfc-52f9-424e-8753-bb4246188313,attack-pattern--830c9528-df21-472c-8c14-a036bf17d665,uses
intrusion-set--bef4c620-0787-42a8-a96d-b7eb6e85917c,attack-pattern--edf91964-b26e-4b4a-9600-ccacd7d7df24,uses
malware--198db886-47af-4f4c-bff5-11b891f85946,attack-pattern--f5946b5e-9408-485f-a7f7-b5efc88909b6,uses
malware--f25aab1a-0cef-4910-a85d-bb38b32ea41a,attack-pattern--1996eef1-ced3-4d7f-bf94-33298cabbf72,uses
malware--edf5aee2-9b1c-4252-8e64-25b12f14c8b3,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
intrusion-set--8b1e16f6-e7c8-4b7a-a5df-f81232c13e2f,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,uses
intrusion-set--f29b7c5e-2439-42ad-a86f-9f8984fafae3,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0,uses
malware--6b62e336-176f-417b-856a-8552dd8c44e1,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,uses
malware--d1974f35-0e06-478e-bc74-7530545d814b,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,uses
x-mitre-detection-strategy--536eed5d-a4b6-4377-a936-90283bb1b25c,attack-pattern--ae7f3575-0a5e-427e-991b-fe03ad44c754,detects
malware--66637cd6-ae68-4bcd-af82-32f70a854175,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,uses
campaign--9cea8bec-07c5-422b-84b8-99d3128ce570,attack-pattern--cd92d2b8-ce43-4666-9472-f1b4b9f4f8be,uses
intrusion-set--9e729a7e-0dd6-4097-95bf-db8d64911383,attack-pattern--cba37adb-d6fb-4610-b069-dd04c0643384,uses
malware--222ba512-32d9-49ac-aefd-50ce981ce2ce,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,uses
malware--39643fb9-00c1-4a45-85e5-801a3f2665d1,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9,uses
tool--afc079f3-c0ea-4096-b75d-3f05338b7f60,attack-pattern--f303a39a-6255-4b89-aecc-18c4d8ca7163,uses
malware--579607c2-d046-40df-99ab-beb479c37a2a,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a,uses
intrusion-set--6713ab67-e25b-49cc-808d-2b36d4fbc35c,attack-pattern--b4694861-542c-48ea-9eb1-10d356e7140a,uses
campaign--8d2bc130-89fe-466e-a4f9-6bce6129c2b8,malware--be25c1c0-1590-4219-a3d5-6f31799d1d1b,uses
malware--0f862b01-99da-47cc-9bdb-db4a86a95bb1,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,uses
malware--f39c6d39-0165-46db-a7ae-43341c428d22,attack-pattern--bbde9781-60aa-4b8a-a911-895b0c1b3872,uses
malware--ab3580c8-8435-4117-aace-3d9fbe46aa56,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1,uses
malware--8ec6e3b4-b06d-4805-b6aa-af916acc2122,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,uses
malware--7f269253-c225-45ff-87c2-5e8ef6dd369f,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea,uses
x-mitre-detection-strategy--c8b4a2e4-386f-45b3-b32a-8ca4113e5592,attack-pattern--8c41090b-aa47-4331-986b-8c9a51a91103,detects
tool--03342581-f790-4f03-ba41-e82e67392e23,attack-pattern--b6075259-dba3-44e9-87c7-e954f37ec0d5,uses
malware--f25d4207-25b2-4bb0-a17a-403943c670ad,attack-pattern--348f1eef-964b-4eb6-bb53-69b3dcb0c643,uses
intrusion-set--174279b4-399f-4ddb-966e-5efedd1dd5f2,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,uses
intrusion-set--918da025-04bd-48af-b6c4-f3e4d1b915eb,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055,uses
malware--b350b47f-88fe-4921-8538-6d9c59bac84e,attack-pattern--391d824f-0ef1-47a0-b0ee-c59a75e27670,uses
malware--56aa3c82-ed40-4b5a-84bf-7231356d9e96,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,uses
intrusion-set--32bca8ff-d900-4877-aa65-d70baa041b74,tool--b76b2d94-60e4-4107-a903-4a3a7622fb3b,uses
malware--471d0e9f-2c8a-4e4b-8f3b-f85d2407806e,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,uses
malware--9a097d18-d15f-4635-a4f1-189df7efdc40,attack-pattern--df8b2a25-8bdf-4856-953c-a04372b1c161,uses
malware--457a5e8d-d964-4130-bde3-c07bb41a093e,attack-pattern--0d91b3c0-5e50-47c3-949a-2a796f04d144,uses
intrusion-set--f9d6633a-55e6-4adc-9263-6ae080421a13,attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,uses
malware--f01e2711-4b48-4192-a2e8-5f56c945ca19,attack-pattern--24bfaeba-cb0d-4525-b3dc-507c77ecec41,uses
intrusion-set--461b8e25-8f4a-4ea2-a4a8-e39df7ce6630,malware--bfcb4a75-b6f0-489b-b506-836bfba3d70e,uses
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,attack-pattern--d336b553-5da9-46ca-98a8-0b23f49fb447,uses
intrusion-set--899ce53f-13a0-479b-a0e4-67d46e241542,malware--ae9d818d-95d0-41da-b045-9cabea1ca164,uses
course-of-action--78bb71be-92b4-46de-acd6-5f998fedf1cc,attack-pattern--937e4772-8441-4e4a-8bf0-8d447d667e23,mitigates
malware--2eaa5319-5e1e-4dd7-bbc4-566fced3964a,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0,uses
tool--e33267fe-099f-4af2-8730-63d49f8813b2,attack-pattern--f2877f7f-9a4c-4251-879f-1224e3006bee,uses
